director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes
Renny Harlin,105.0,212.0,811.0,Michael Rapaport,1000.0,Action|Sci-Fi|Thriller,LL Cool J,Deep Blue Sea ,3697,Saffron Burrows,English,USA,R,60000000.0,975.0
Kenny Ortega,111.0,197.0,6.0,Mekia Cox,433.0,Documentary|Music,Misha Gabriel Hamilton,This Is It ,679,Judith Hill,English,USA,PG,60000000.0,208.0
David McNally,89.0,18.0,226.0,Dyan Cannon,658.0,Action|Adventure|Comedy|Crime,Estella Warren,Kangaroo Jack ,1233,Bill Hunter,English,USA,PG,60000000.0,257.0
Henry Selick,100.0,253.0,57.0,Dawn French,309.0,Animation|Family|Fantasy,Jennifer Saunders,Coraline ,647,John Hodgman,English,USA,PG,60000000.0,229.0
Todd Phillips,101.0,480.0,767.0,Carmen Electra,881.0,Comedy|Crime,Snoop Dogg,Starsky & Hutch ,3943,Fred Williamson,English,USA,PG-13,60000000.0,869.0
Brian Levant,94.0,32.0,626.0,Harvey Korman,854.0,Comedy|Family,Jim Belushi,Jingle All the Way ,4530,Jake Lloyd,English,USA,PG,60000000.0,628.0
Jon Avnet,124.0,50.0,672.0,Stockard Channing,1000.0,Drama|Romance,Joe Mantegna,Up Close & Personal ,3653,Raymond Cruz,English,USA,PG-13,60000000.0,944.0
Kevin Donovan,98.0,11.0,107.0,Debi Mazar,966.0,Action|Comedy|Sci-Fi,Romany Malco,The Tuxedo ,2018,Ritchie Coster,English,USA,PG-13,60000000.0,680.0
Geoff Murphy,92.0,14.0,488.0,Brenda Bakke,789.0,Action|Thriller,Peter Greene,Under Siege 2: Dark Territory ,2318,Patrick Kilpatrick,English,USA,R,60000000.0,520.0
Kenneth Branagh,105.0,0.0,288.0,Nonso Anozie,539.0,Action|Drama|Thriller,Colm Feore,Jack Ryan: Shadow Recruit ,1411,Gemma Chan,English,USA,PG-13,60000000.0,394.0
Graham Annable,96.0,7.0,642.0,Dee Bradley Baker,874.0,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,The Boxtrolls ,3151,Tracy Morgan,English,USA,PG,60000000.0,668.0
Griffin Dunne,104.0,165.0,944.0,Dianne Wiest,1000.0,Comedy|Drama|Fantasy|Romance,Goran Visnjic,Practical Magic ,4294,Stockard Channing,English,USA,PG-13,48000000.0,967.0
John Pasquin,115.0,11.0,642.0,Diedrich Bader,1000.0,Action|Comedy|Crime,Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,4305,Treat Williams,English,USA,PG-13,45000000.0,759.0
Clark Johnson,107.0,69.0,206.0,David Rasche,310.0,Action|Crime|Thriller,Blair Brown,The Sentinel ,1352,Martin Donovan,English,USA,PG-13,60000000.0,219.0
Joel Coen,100.0,0.0,210.0,Paul Adelstein,436.0,Comedy|Crime|Romance,Cedric the Entertainer,Intolerable Cruelty ,1395,Julia Duffy,English,USA,PG-13,60000000.0,399.0
Peter Hyams,110.0,0.0,308.0,Penelope Ann Miller,510.0,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,The Relic ,1976,Chi Muoi Lo,English,UK,R,40000000.0,344.0
Scott Stewart,87.0,124.0,77.0,Alan Dale,865.0,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,Priest ,1417,Jacob Hopkins,English,USA,PG-13,60000000.0,441.0
Tom Shadyac,104.0,293.0,256.0,Susanna Thompson,780.0,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,Dragonfly ,2109,Matt Craven,English,USA,PG-13,60000000.0,265.0
Rod Lurie,131.0,37.0,507.0,Delroy Lindo,968.0,Action|Drama|Thriller,Clifton Collins Jr.,The Last Castle ,3012,Michael Irby,English,USA,R,60000000.0,848.0
Brian Robbins,90.0,48.0,196.0,Mike O'Malley,973.0,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,Meet Dave ,1865,Shawn Christian,English,USA,PG,60000000.0,400.0
Walter Salles,103.0,179.0,87.0,Camryn Manheim,794.0,Drama|Horror|Thriller,Dougray Scott,Dark Water ,1467,Ariel Gade,English,USA,PG-13,30000000.0,329.0
Stephen Herek,114.0,65.0,440.0,Morgan Fairchild,743.0,Comedy|Drama,Kelly Preston,Holy Man ,2367,Eric McCormack,English,USA,PG,60000000.0,730.0
Mark Waters,95.0,70.0,512.0,Ivana Milicevic,970.0,Comedy|Fantasy|Romance,Jon Heder,Just Like Heaven ,2876,Willie Garson,English,USA,PG-13,58000000.0,834.0
Brian Levant,90.0,32.0,809.0,Mark Addy,1000.0,Comedy|Family|Romance|Sci-Fi,Taylor Negron,The Flintstones in Viva Rock Vegas ,6299,Danny Woodburn,English,USA,PG,60000000.0,891.0
George Clooney,114.0,0.0,110.0,Malcolm Goodwin,142.0,Comedy|Drama|Romance|Sport,Robert Baker,Leatherheads ,589,Matt Bushell,English,USA,PG-13,58000000.0,117.0
Marc Lawrence,103.0,30.0,727.0,Kim Shaw,963.0,Comedy|Drama|Romance,Michael Kelly,Did You Hear About the Morgans? ,3150,Kevin Brown,English,USA,PG-13,58000000.0,935.0
Shawn Levy,125.0,189.0,839.0,Jessica Szohr,1000.0,Comedy,Josh Gad,The Internship ,5081,Rob Riggle,English,USA,PG-13,58000000.0,847.0
Anthony Hemingway,125.0,143.0,519.0,Nate Parker,1000.0,Action|Adventure|Drama|History|War,David Oyelowo,Red Tails ,4416,Tristan Mack Wilds,English,USA,PG-13,58000000.0,664.0
Tim Hill,92.0,25.0,639.0,Beth Riesgraf,1000.0,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,Alvin and the Chipmunks ,2847,Matthew Gray Gubler,English,USA,PG,60000000.0,718.0
Tom Shadyac,95.0,293.0,744.0,James Coburn,851.0,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,The Nutty Professor ,3155,Dave Chappelle,English,USA,PG-13,54000000.0,773.0
Brad Silberling,100.0,52.0,394.0,Fred Rogers,795.0,Comedy|Family|Fantasy,Eric Idle,Casper ,2638,Cathy Moriarty,English,USA,PG,50000000.0,419.0
Robert Schwentke,98.0,124.0,354.0,Michael Irby,931.0,Drama|Mystery|Thriller,Erika Christensen,Flightplan ,2287,Haley Ramm,English,USA,PG-13,55000000.0,507.0
,44.0,,72.0,Don S. Davis,847.0,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Stargate SG-1             ,1359,Gary Jones,English,USA,TV-14,1400000.0,440.0
Tom Dey,110.0,9.0,95.0,Jason Connery,485.0,Action|Adventure|Comedy|Western,Xander Berkeley,Shanghai Noon ,939,Kate Luyben,English,USA,PG-13,55000000.0,110.0
Stuart Baird,133.0,53.0,263.0,Joe Morton,1000.0,Action|Adventure|Thriller,Oliver Platt,Executive Decision ,2916,J.T. Walsh,English,USA,R,55000000.0,780.0
Mark Waters,94.0,70.0,497.0,Ophelia Lovibond,1000.0,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,2820,Philip Baker Hall,English,USA,PG,55000000.0,549.0
Jimmy Hayward,91.0,39.0,562.0,Carlos Ponce,1000.0,Adventure|Animation|Comedy|Family,Amy Poehler,Free Birds ,3104,Dan Fogler,English,USA,PG,55000000.0,591.0
Alan Parker,135.0,317.0,34.0,Jimmy Nail,57.0,Biography|Drama|History|Musical,Andrea Corr,Evita ,164,Peter Polycarpou,English,USA,PG,55000000.0,40.0
Stephen Hopkins,110.0,81.0,163.0,Bernard Hill,1000.0,Adventure|Drama|Horror|Thriller,Tom Wilkinson,The Ghost and the Darkness ,1752,Om Puri,English,USA,R,55000000.0,416.0
Paul King,95.0,17.0,594.0,Matt Lucas,838.0,Animation|Comedy|Family|Fantasy,Julie Walters,Paddington ,3697,Sally Hawkins,English,UK,PG,55000000.0,722.0
Karey Kirkpatrick,107.0,11.0,506.0,Ronny Cox,939.0,Comedy|Drama|Family|Fantasy,Stephen Root,Imagine That ,3742,Richard Schiff,English,USA,PG,55000000.0,605.0
Jean-Pierre Jeunet,133.0,0.0,46.0,André Dussollier,226.0,Drama|Mystery|Romance|War,Denis Lavant,A Very Long Engagement ,405,Albert Dupontel,French,France,R,47000000.0,52.0
Stanley Kubrick,152.0,0.0,177.0,Shelley Winters,617.0,Crime|Drama|Romance,James Mason,Lolita ,1403,Lois Maxwell,English,UK,Not Rated,2000000.0,367.0
Anthony Russo,110.0,94.0,240.0,Billy Gardell,277.0,Comedy|Romance,Todd Stashwick,"You, Me and Dupree ",847,Amanda Detmer,English,USA,PG-13,54000000.0,245.0
Richard Lester,116.0,44.0,420.0,Ned Beatty,593.0,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,2908,Jackie Cooper,English,USA,PG,54000000.0,467.0
Martin Brest,121.0,102.0,43.0,Lenny Venito,117.0,Comedy|Crime|Romance,Todd Giebenhain,Gigli ,286,David Backus,English,USA,R,54000000.0,62.0
Kathryn Bigelow,157.0,0.0,304.0,Harold Perrineau,1000.0,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,2759,Parker Sawyers,English,USA,R,40000000.0,1000.0
Jay Chandrasekhar,107.0,422.0,379.0,Jessica Simpson,631.0,Action|Adventure|Comedy,Alice Greczyn,The Dukes of Hazzard ,2297,Michael Weston,English,USA,PG-13,50000000.0,534.0
Pierre Morel,92.0,180.0,75.0,Amber Rose Revah,211.0,Action|Thriller,Kasia Smutniak,From Paris with Love ,488,Rebecca Dayan,English,France,R,52000000.0,135.0
Paul Hunter,104.0,13.0,343.0,Mako,961.0,Action|Comedy|Fantasy,Jaime King,Bulletproof Monk ,2422,Victoria Smurfit,English,USA,PG-13,52000000.0,691.0
Bobby Farrelly,116.0,101.0,79.0,Tony Cox,889.0,Comedy,Robert Forster,"Me, Myself & Irene ",1711,Rob Moran,English,USA,R,51000000.0,624.0
Steve Oedekerk,90.0,176.0,523.0,Wanda Sykes,677.0,Animation|Comedy|Family,Rob Paulsen,Barnyard ,2055,Maurice LaMarche,English,Germany,PG,51000000.0,560.0
Andrew Adamson,90.0,80.0,21.0,Chris Miller,145.0,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Shrek ,275,Bobby Block,English,USA,PG,60000000.0,50.0
James L. Brooks,139.0,274.0,285.0,Yeardley Smith,625.0,Comedy|Drama|Romance,Lupe Ontiveros,As Good as It Gets ,1474,Shirley Knight,English,USA,PG-13,50000000.0,440.0
Brian Helgeland,90.0,241.0,416.0,Deborah Kara Unger,1000.0,Action|Crime|Drama|Thriller,Bill Duke,Payback ,3148,William Devane,English,USA,R,50000000.0,495.0
Frank Marshall,109.0,155.0,293.0,Joe Don Baker,426.0,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Congo ,1761,Grant Heslov,English,USA,PG-13,50000000.0,387.0
David Dobkin,114.0,71.0,55.0,Anna-Louise Plowman,154.0,Action|Adventure|Comedy,Fann Wong,Shanghai Knights ,428,Georgina Chapman,English,USA,PG-13,50000000.0,131.0
Angela Robinson,101.0,23.0,541.0,Thomas Lennon,660.0,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Herbie Fully Loaded ,2177,Cheryl Hines,English,USA,G,50000000.0,651.0
Gary Fleder,113.0,39.0,477.0,Jennifer Esposito,1000.0,Crime|Drama|Mystery|Thriller,Oliver Platt,Don't Say a Word ,3341,Conrad Goode,English,USA,R,50000000.0,912.0
Adrian Lyne,124.0,213.0,372.0,Erik Per Sullivan,838.0,Drama|Thriller,Olivier Martinez,Unfaithful ,2583,Chad Lowe,English,USA,R,50000000.0,593.0
Michael Bay,144.0,0.0,681.0,James Badge Dale,769.0,Action|Drama|Thriller|War,Toby Stephens,13 Hours ,3580,David Costabile,English,USA,R,50000000.0,726.0
Christophe Gans,132.0,50.0,368.0,Deborah Kara Unger,992.0,Adventure|Horror|Mystery,Radha Mitchell,Silent Hill ,1933,Alice Krige,English,Canada,R,50000000.0,495.0
Steven Quale,89.0,77.0,159.0,Alycia Debnam-Carey,490.0,Action|Thriller,Matt Walsh,Into the Storm ,1367,Scott Lawrence,English,USA,PG-13,50000000.0,298.0
Mimi Leder,124.0,75.0,258.0,Holt McCallany,294.0,Action|Thriller,Armin Mueller-Stahl,The Peacemaker ,1289,Marcel Iures,English,USA,R,50000000.0,273.0
Steven Seagal,101.0,0.0,158.0,Joan Chen,854.0,Action|Adventure|Thriller,Mike Starr,On Deadly Ground ,1860,Sven-Ole Thorsen,English,USA,R,50000000.0,643.0
Garry Marshall,119.0,0.0,434.0,Felicity Huffman,627.0,Comedy|Drama|Romance,Amber Valletta,Raising Helen ,2052,Spencer Breslin,English,USA,PG-13,50000000.0,508.0
James McTeigue,99.0,160.0,72.0,Ben Miles,330.0,Action|Crime|Thriller,Shô Kosugi,Ninja Assassin ,701,Rain,English,USA,R,40000000.0,119.0
Peter Webber,131.0,73.0,163.0,Stephen Walters,879.0,Crime|Drama|Thriller,Li Gong,Hannibal Rising ,1344,Richard Brake,English,UK,R,50000000.0,184.0
John McTiernan,98.0,323.0,511.0,Harry Connick Jr.,933.0,Action|Crime|Drama|Mystery|Thriller,Connie Nielsen,Basic ,3357,Tim Daly,English,Germany,R,50000000.0,631.0
Stephen Herek,100.0,65.0,730.0,Vanessa Ferlito,1000.0,Action|Comedy,Christina Milian,Man of the House ,6171,Kelli Garner,English,USA,PG-13,40000000.0,923.0
Costa-Gavras,115.0,333.0,317.0,Blythe Danner,972.0,Crime|Drama|Thriller,Mia Kirshner,Mad City ,2606,William Atherton,English,USA,PG-13,50000000.0,713.0
Patrick Read Johnson,99.0,32.0,479.0,Lara Flynn Boyle,1000.0,Adventure|Comedy|Crime|Drama|Family,Joe Mantegna,Baby's Day Out ,2949,Cynthia Nixon,English,USA,PG,50000000.0,619.0
Richard LaGravenese,124.0,98.0,592.0,Zoey Deutch,1000.0,Drama|Fantasy|Romance,Alden Ehrenreich,Beautiful Creatures ,3580,Pruitt Taylor Vince,English,USA,PG-13,60000000.0,852.0
Andrzej Bartkowiak,96.0,43.0,77.0,Robin Shou,841.0,Action|Crime|Drama|Mystery|Thriller,Chris Klein,Street Fighter: The Legend of Chun-Li ,1385,Josie Ho,English,Canada,PG-13,18000000.0,342.0
Renny Harlin,104.0,212.0,380.0,Gilbert Gottfried,879.0,Action|Adventure|Comedy|Crime|Music|Mystery,Lauren Holly,The Adventures of Ford Fairlane ,2795,David Patrick Kelly,English,USA,R,40000000.0,560.0
Chuck Bowman,89.0,42.0,235.0,Lochlyn Munro,598.0,Horror|Thriller,P.J. Soles,The Tooth Fairy ,2353,Steve Bacic,English,USA,,1500000.0,555.0
Jerry Zucker,112.0,109.0,261.0,Douglas Haase,779.0,Adventure|Comedy,Corinna Harney,Rat Race ,1823,Vince Vieluf,English,Canada,PG-13,48000000.0,629.0
John McTiernan,113.0,323.0,835.0,Faye Dunaway,1000.0,Crime|Romance|Thriller,Mark Margolis,The Thomas Crown Affair ,4660,Denis Leary,English,USA,R,48000000.0,977.0
Andrei Tarkovsky,115.0,0.0,12.0,Anatoliy Solonitsyn,29.0,Drama|Mystery|Sci-Fi,Donatas Banionis,Solaris ,95,Natalya Bondarchuk,Russian,Soviet Union,PG,1000000.0,29.0
Tom Shadyac,86.0,293.0,255.0,Swoosie Kurtz,509.0,Comedy|Fantasy|Romance,Maura Tierney,Liar Liar ,2070,Randall 'Tex' Cobb,English,USA,PG-13,45000000.0,418.0
Brad Furman,127.0,65.0,345.0,Amy Ryan,788.0,Biography|Crime|Drama|Thriller,Joseph Gilgun,The Infiltrator ,2104,Olympia Dukakis,English,UK,R,25000000.0,423.0
Terence Young,140.0,92.0,522.0,Ben Gazzara,1000.0,Drama|History|War,Laurence Olivier,Inchon ,2704,Jacqueline Bisset,English,South Korea,PG,48000000.0,623.0
Brian Levant,91.0,32.0,628.0,Elizabeth Perkins,924.0,Comedy|Family|Fantasy,Jonathan Winters,The Flintstones ,3244,Harvey Korman,English,USA,PG,45000000.0,664.0
David Zucker,84.0,119.0,750.0,Pamela Anderson,807.0,Comedy,Regina Hall,Scary Movie 3 ,3629,Jenny McCarthy,English,USA,PG-13,48000000.0,780.0
Donald Petrie,109.0,80.0,213.0,Wendy Raquel Robinson,545.0,Action|Comedy|Crime|Romance,Candice Bergen,Miss Congeniality ,1574,Heather Burns,English,USA,PG-13,45000000.0,337.0
Keenen Ivory Wayans,83.0,322.0,179.0,Veronica Cartwright,1000.0,Comedy,Natasha Lyonne,Scary Movie 2 ,1645,Andy Richter,English,USA,R,45000000.0,422.0
James Bobin,103.0,33.0,84.0,Eric Jacobson,970.0,Adventure|Comedy|Family|Musical,Bill Cobbs,The Muppets ,1336,Steve Whitmire,English,USA,PG,45000000.0,91.0
Stephen Norrington,110.0,45.0,595.0,Traci Lords,886.0,Action|Horror,Sanaa Lathan,Blade ,3174,Udo Kier,English,USA,R,45000000.0,650.0
Roger Michell,91.0,50.0,67.0,Matt Malloy,521.0,Drama|Thriller,Sydney Pollack,Changing Lanes ,758,Bruce Altman,English,USA,R,45000000.0,108.0
David McNally,107.0,18.0,560.0,Tyra Banks,811.0,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly ,3106,Izabella Miko,English,USA,PG-13,45000000.0,625.0
Ron Shelton,135.0,41.0,808.0,Cheech Marin,982.0,Comedy|Drama|Romance|Sport,Don Johnson,Tin Cup ,3648,Rene Russo,English,USA,R,45000000.0,843.0
Joel Zwick,93.0,38.0,631.0,Nick Zano,1000.0,Comedy|Family|Fantasy|Romance,Dania Ramirez,Fat Albert ,4604,Alice Greczyn,English,USA,PG,26000000.0,641.0
Wayne Wang,112.0,61.0,501.0,Alicia Witt,1000.0,Adventure|Comedy|Drama,LL Cool J,Last Holiday ,3757,Timothy Hutton,English,USA,PG-13,45000000.0,976.0
Frank Oz,96.0,0.0,563.0,Vincent Kartheiser,1000.0,Drama|Family|Fantasy,Steve Coogan,The Indian in the Cupboard ,2965,David Keith,English,USA,PG,45000000.0,845.0
Oliver Stone,141.0,0.0,404.0,Shea Whigham,749.0,Crime|Drama|Thriller,Demián Bichir,Savages ,1948,Gary Stretch,English,USA,R,45000000.0,463.0
David R. Ellis,94.0,160.0,167.0,Valerie Cruz,550.0,Action|Crime|Thriller,Richard Burgi,Cellular ,1102,Will Beinbrink,English,USA,PG-13,25000000.0,216.0
Peter Howitt,87.0,29.0,252.0,Natalie Imbruglia,427.0,Action|Adventure|Comedy,Kevin McNally,Johnny English ,1461,Ben Miller,English,UK,PG,35000000.0,304.0
John Schultz,86.0,13.0,553.0,Carter Jenkins,1000.0,Adventure|Comedy|Family|Fantasy|Sci-Fi,Malese Jow,Aliens in the Attic ,3423,Tim Meadows,English,USA,PG,45000000.0,701.0
Sean Penn,124.0,0.0,19.0,Adrien Dorval,723.0,Crime|Drama|Mystery|Thriller,Costas Mandylor,The Pledge ,793,Nels Lennarson,English,USA,R,45000000.0,44.0
Pete Travis,95.0,38.0,20.0,Jason Cope,409.0,Action|Sci-Fi,Wood Harris,Dredd ,578,Rakie Ayola,English,UK,R,35000000.0,107.0
Simon Wincer,100.0,23.0,579.0,Treat Williams,1000.0,Action|Adventure|Comedy|Fantasy,Cary-Hiroyuki Tagawa,The Phantom ,3855,Kristy Swanson,English,Australia,PG,45000000.0,642.0
Mike Newell,139.0,179.0,50.0,Giovanna Mezzogiorno,267.0,Drama|Romance,Marcela Mar,Love in the Time of Cholera ,538,Unax Ugalde,English,USA,R,45000000.0,202.0
George P. Cosmatos,103.0,170.0,269.0,Ben Gazzara,849.0,Action|Thriller,Sam Waterston,Shadow Conspiracy ,2457,Nicholas Turturro,English,USA,R,45000000.0,623.0
Oliver Parker,101.0,32.0,104.0,Tim McInnerny,219.0,Action|Adventure|Comedy|Crime,Daniel Kaluuya,Johnny English Reborn ,661,Togo Igawa,English,USA,PG,45000000.0,141.0
Ben Affleck,130.0,0.0,650.0,Scoot McNairy,1000.0,Biography|Drama|History|Thriller,Clea DuVall,Argo ,3133,Tate Donovan,English,USA,R,44500000.0,660.0
Norman Ferguson,88.0,3.0,40.0,Dickie Jones,1000.0,Animation|Family|Fantasy|Musical,Mel Blanc,Pinocchio ,1178,Cliff Edwards,English,USA,Approved,2600000.0,48.0
Len Wiseman,102.0,235.0,520.0,Tony Curran,956.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Underworld: Evolution ,2998,Derek Jacobi,English,USA,R,50000000.0,845.0
Roger Kumble,90.0,16.0,16.0,Lillian Adams,44.0,Comedy|Romance,Judith Chapman,The Sweetest Thing ,132,Chelsea Bond,English,USA,R,43000000.0,28.0
Burr Steers,99.0,23.0,135.0,Charlie Tahan,405.0,Drama|Fantasy|Romance,Augustus Prew,Charlie St. Cloud ,1066,Valerie Tian,English,USA,PG-13,44000000.0,268.0
Peter Lord,84.0,91.0,206.0,Miranda Richardson,579.0,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,Chicken Run ,1817,Julia Sawalha,English,UK,G,45000000.0,530.0
Reginald Hudlin,117.0,71.0,547.0,Eartha Kitt,723.0,Comedy|Drama|Romance,John Witherspoon,Boomerang ,3841,Geoffrey Holder,English,USA,R,40000000.0,558.0
Paul Feig,123.0,176.0,749.0,William Xifaras,975.0,Action|Comedy|Crime,Michael Rapaport,The Heat ,4825,Demián Bichir,English,USA,R,43000000.0,815.0
Mark Pellington,119.0,89.0,395.0,Will Patton,650.0,Drama|Horror|Mystery|Thriller,Debra Messing,The Mothman Prophecies ,1651,David Eigenberg,English,USA,PG-13,32000000.0,537.0
Larry Charles,81.0,119.0,412.0,Elton John,468.0,Comedy,Bono,Brüno ,2134,Slash,English,USA,R,42000000.0,442.0
John Glen,133.0,46.0,275.0,Talisa Soto,683.0,Action|Adventure|Thriller,Robert Davi,Licence to Kill ,2371,Anthony Zerbe,English,UK,PG-13,32000000.0,349.0
Julie Anne Robinson,91.0,30.0,497.0,Debbie Reynolds,922.0,Action|Comedy|Crime|Romance|Thriller,Fisher Stevens,One for the Money ,3301,Patrick Fischler,English,USA,PG-13,40000000.0,786.0
Sngmoo Lee,100.0,19.0,433.0,Dong-gun Jang,624.0,Action|Fantasy|Western,Tony Cox,The Warrior's Way ,2056,Jed Brophy,English,New Zealand,R,45000000.0,489.0
Jean-Pierre Jeunet,105.0,0.0,52.0,Dany Boon,1000.0,Action|Comedy|Crime,Omar Sy,Micmacs ,1342,André Dussollier,French,France,R,27000000.0,172.0
Curtis Hanson,110.0,161.0,196.0,Omar Benson Miller,1000.0,Drama|Music,Mekhi Phifer,8 Mile ,1954,Evan Jones,English,USA,R,41000000.0,418.0
Gordon Chan,108.0,4.0,96.0,Lee Evans,687.0,Action|Comedy|Fantasy,Julian Sands,The Medallion ,1134,Anthony Chau-Sang Wong,English,Hong Kong,PG-13,41000000.0,312.0
Asger Leth,102.0,20.0,54.0,Mandy Gonzalez,107.0,Action|Crime|Thriller,Robert Clohessy,Man on a Ledge ,362,J. Smith-Cameron,English,USA,PG-13,42000000.0,81.0
David Frankel,100.0,64.0,296.0,Kevin Pollak,734.0,Comedy,Joel McHale,The Big Year ,2085,JoBeth Williams,English,USA,PG,41000000.0,574.0
John G. Avildsen,126.0,80.0,225.0,William Zabka,668.0,Action|Drama|Family|Sport,Martin Kove,The Karate Kid ,2004,William Bassett,English,USA,PG,8000000.0,641.0
Robert Zemeckis,108.0,0.0,690.0,Jeffrey Weissman,1000.0,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future Part II ,3660,Thomas F. Wilson,English,USA,PG,40000000.0,869.0
