director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,num_critic_for_reviews,gross,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,genre_Drama,genre_Comedy,genre_Romance,genre_Thriller,genre_Crime,genre_Action,genre_Adventure,genre_Horror,genre_Family,genre_Fantasy,genre_other,profit,pop_est,gdp_md,actor_1_degree,actor_1_closeness,actor_1_betweenness,actor_2_degree,actor_2_closeness,actor_2_betweenness,actor_3_degree,actor_3_closeness,actor_3_betweenness
George Clooney,114.0,0.0,110.0,Malcolm Goodwin,142.0,"['Comedy', 'Drama', 'Romance', 'Sport']",Robert Baker,Leatherheads ,589,Matt Bushell,English,USA,PG-13,58000000.0,117.0,186.0,31199215,27664,120.0,6.0,472,True,True,True,False,False,False,False,False,False,False,True,-26800785.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Marc Lawrence,103.0,30.0,727.0,Kim Shaw,963.0,"['Comedy', 'Drama', 'Romance']",Michael Kelly,Did You Hear About the Morgans? ,3150,Kevin Brown,English,USA,PG-13,58000000.0,935.0,133.0,29580087,29523,121.0,4.7,0,True,True,True,False,False,False,False,False,False,False,False,-28419913.0,328239523.0,21433226.0,4.0,0.05412486346338487,0.0009108218079194332,2.0,0.049018417110680446,0.0,2.0,0.049018417110680446,0.0
Anthony Hemingway,125.0,143.0,519.0,Nate Parker,1000.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",David Oyelowo,Red Tails ,4416,Tristan Mack Wilds,English,USA,PG-13,58000000.0,664.0,144.0,49875589,28807,273.0,5.9,0,True,False,False,False,False,True,True,False,False,False,True,-8124411.0,328239523.0,21433226.0,6.0,0.06742057237761137,0.003933696826271274,4.0,0.059723258786490645,0.0018185508422975442,2.0,0.05969995669566485,0.0
Tom Dey,110.0,9.0,95.0,Jason Connery,485.0,"['Action', 'Adventure', 'Comedy', 'Western']",Xander Berkeley,Shanghai Noon ,939,Kate Luyben,English,USA,PG-13,55000000.0,110.0,146.0,56932305,96690,293.0,6.6,0,False,True,False,False,False,True,True,False,False,False,True,1932305.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Stuart Baird,133.0,53.0,263.0,Joe Morton,1000.0,"['Action', 'Adventure', 'Thriller']",Oliver Platt,Executive Decision ,2916,J.T. Walsh,English,USA,R,55000000.0,780.0,60.0,68750000,40858,144.0,6.4,0,False,False,False,True,False,True,True,False,False,False,False,13750000.0,328239523.0,21433226.0,12.0,0.08259702510714657,0.013757745454000946,4.0,0.07405250526847623,0.0034860315237246944,6.0,0.07661083440279835,0.004778037484847137
Jimmy Hayward,91.0,39.0,562.0,Carlos Ponce,1000.0,"['Adventure', 'Animation', 'Comedy', 'Family']",Amy Poehler,Free Birds ,3104,Dan Fogler,English,USA,PG,55000000.0,591.0,118.0,55747724,18042,73.0,5.9,0,False,True,False,False,False,False,True,False,True,False,True,747724.0,328239523.0,21433226.0,10.0,0.08573244936881301,0.012747716204771938,6.0,0.08444315066831624,0.005556969453836645,4.0,0.07860826561057746,0.0048058188864677776
Alan Parker,135.0,317.0,34.0,Jimmy Nail,57.0,"['Biography', 'Drama', 'History', 'Musical']",Andrea Corr,Evita ,164,Peter Polycarpou,English,USA,PG,55000000.0,40.0,76.0,49994804,29205,194.0,6.3,0,True,False,False,False,False,False,False,False,False,False,True,-5005196.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Stephen Hopkins,110.0,81.0,163.0,Bernard Hill,1000.0,"['Adventure', 'Drama', 'Horror', 'Thriller']",Tom Wilkinson,The Ghost and the Darkness ,1752,Om Puri,English,USA,R,55000000.0,416.0,62.0,38553833,46239,155.0,6.8,0,True,False,False,True,False,False,True,True,False,False,False,-16446167.0,328239523.0,21433226.0,10.0,0.06866868125703536,0.0036026820705558904,2.0,0.0640414309975888,0.0,6.0,0.07029332215963661,0.004215714291840012
Karey Kirkpatrick,107.0,11.0,506.0,Ronny Cox,939.0,"['Comedy', 'Drama', 'Family', 'Fantasy']",Stephen Root,Imagine That ,3742,Richard Schiff,English,USA,PG,55000000.0,605.0,93.0,16088610,10417,39.0,5.6,610,True,True,False,False,False,False,False,False,True,True,False,-38911390.0,328239523.0,21433226.0,10.0,0.08129153354282855,0.008996707985609096,4.0,0.07848729880019956,0.003624730590429799,8.0,0.09036526739169586,0.020928113778353602
Jean-Pierre Jeunet,133.0,0.0,46.0,André Dussollier,226.0,"['Drama', 'Mystery', 'Romance', 'War']",Denis Lavant,A Very Long Engagement ,405,Albert Dupontel,French,France,R,47000000.0,52.0,186.0,6167817,62607,239.0,7.7,0,True,False,True,False,False,False,False,False,False,False,True,-40832183.0,67059887.0,2715518.0,2.0,0.0011721611721611722,0.0,4.0,0.0017582417582417582,1.546386770661177e-06,2.0,0.0011721611721611722,0.0
Anthony Russo,110.0,94.0,240.0,Billy Gardell,277.0,"['Comedy', 'Romance']",Todd Stashwick,"You, Me and Dupree ",847,Amanda Detmer,English,USA,PG-13,54000000.0,245.0,136.0,75604320,68417,195.0,5.6,0,False,True,True,False,False,False,False,False,False,False,False,21604320.0,328239523.0,21433226.0,2.0,0.0011721611721611722,0.0,2.0,0.0011721611721611722,0.0,4.0,0.0017582417582417582,1.546386770661177e-06
Paul Hunter,104.0,13.0,343.0,Mako,961.0,"['Action', 'Comedy', 'Fantasy']",Jaime King,Bulletproof Monk ,2422,Victoria Smurfit,English,USA,PG-13,52000000.0,691.0,127.0,23020488,42324,180.0,5.5,846,False,True,False,False,False,True,False,False,False,True,False,-28979512.0,328239523.0,21433226.0,6.0,0.06567699925356327,0.008107705838576552,8.0,0.07484945041506127,0.01491467730532358,2.0,0.06555038621012703,0.0
Steve Oedekerk,90.0,176.0,523.0,Wanda Sykes,677.0,"['Animation', 'Comedy', 'Family']",Rob Paulsen,Barnyard ,2055,Maurice LaMarche,English,Germany,PG,51000000.0,560.0,98.0,72601713,21396,155.0,5.6,605,False,True,False,False,False,False,False,False,True,False,True,21601713.0,83132799.0,3861123.0,6.0,0.07302755709867033,0.007681313339813142,6.0,0.06584657945604691,0.0038417451515830735,2.0,0.06485577578085791,0.0
Frank Marshall,109.0,155.0,293.0,Joe Don Baker,426.0,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",Dylan Walsh,Congo ,1761,Grant Heslov,English,USA,PG-13,50000000.0,387.0,55.0,81022333,34471,147.0,5.0,0,False,False,False,False,False,True,True,False,False,False,True,31022333.0,328239523.0,21433226.0,4.0,0.057756341987728235,0.002024457080242985,4.0,0.054563961490947326,0.0015690328294926845,2.0,0.052671596905676084,0.0
David Dobkin,114.0,71.0,55.0,Anna-Louise Plowman,154.0,"['Action', 'Adventure', 'Comedy']",Fann Wong,Shanghai Knights ,428,Georgina Chapman,English,USA,PG-13,50000000.0,131.0,165.0,60470220,81444,192.0,6.2,955,False,True,False,False,False,True,True,False,False,False,False,10470220.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Angela Robinson,101.0,23.0,541.0,Thomas Lennon,660.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Sport']",Scoot McNairy,Herbie Fully Loaded ,2177,Cheryl Hines,English,USA,G,50000000.0,651.0,117.0,66002004,36431,168.0,4.7,1000,False,True,True,False,False,False,True,False,True,True,True,16002004.0,328239523.0,21433226.0,4.0,0.06798222326379608,0.0018185508422975442,8.0,0.0780967150751507,0.006956300310987008,6.0,0.06883085425595548,0.001274508486199169
Gary Fleder,113.0,39.0,477.0,Jennifer Esposito,1000.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",Oliver Platt,Don't Say a Word ,3341,Conrad Goode,English,USA,R,50000000.0,912.0,113.0,54997476,40362,248.0,6.3,970,True,False,False,True,True,False,False,False,False,False,True,4997476.0,328239523.0,21433226.0,12.0,0.08259702510714657,0.013757745454000946,4.0,0.07460311507117943,0.0028367083854340704,2.0,0.07208998304404665,0.0
Steven Seagal,101.0,0.0,158.0,Joan Chen,854.0,"['Action', 'Adventure', 'Thriller']",Mike Starr,On Deadly Ground ,1860,Sven-Ole Thorsen,English,USA,R,50000000.0,643.0,47.0,38590500,17997,140.0,4.4,812,False,False,False,True,False,True,True,False,False,False,False,-11409500.0,328239523.0,21433226.0,6.0,0.07811665042041557,0.004119392411871626,6.0,0.0765150588878555,0.003966691150372905,2.0,0.07047138238848084,0.0
Garry Marshall,119.0,0.0,434.0,Felicity Huffman,627.0,"['Comedy', 'Drama', 'Romance']",Amber Valletta,Raising Helen ,2052,Spencer Breslin,English,USA,PG-13,50000000.0,508.0,93.0,37486138,30890,106.0,6.0,718,True,True,True,False,False,False,False,False,False,False,False,-12513862.0,328239523.0,21433226.0,10.0,0.09505264110016402,0.03158776811510942,6.0,0.08357830889580174,0.011591412209449831,4.0,0.0827869546928116,0.00809975271339764
James McTeigue,99.0,160.0,72.0,Ben Miles,330.0,"['Action', 'Crime', 'Thriller']",Shô Kosugi,Ninja Assassin ,701,Rain,English,USA,R,40000000.0,119.0,235.0,38105077,58349,194.0,6.4,0,False,False,False,True,True,True,False,False,False,False,False,-1894923.0,328239523.0,21433226.0,2.0,0.055163943762411544,0.0,4.0,0.061716643747499855,0.0009108218079194332,2.0,0.055163943762411544,0.0
John McTiernan,98.0,323.0,511.0,Harry Connick Jr.,933.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Connie Nielsen,Basic ,3357,Tim Daly,English,Germany,R,50000000.0,631.0,131.0,26536120,49926,286.0,6.5,0,True,False,False,True,True,True,False,False,False,False,True,-23463880.0,83132799.0,3861123.0,2.0,0.05854078967421866,0.0,2.0,0.05854078967421866,0.0,4.0,0.06597434041650922,0.0009108218079194332
Costa-Gavras,115.0,333.0,317.0,Blythe Danner,972.0,"['Crime', 'Drama', 'Thriller']",Mia Kirshner,Mad City ,2606,William Atherton,English,USA,PG-13,50000000.0,713.0,59.0,10556196,16562,73.0,6.2,697,True,False,False,True,True,False,False,False,False,False,False,-39443804.0,328239523.0,21433226.0,4.0,0.06169176051244391,0.0025270871859639343,4.0,0.06653374889052681,0.0036538810688829513,4.0,0.06000430941607413,0.0009108218079194332
Patrick Read Johnson,99.0,32.0,479.0,Lara Flynn Boyle,1000.0,"['Adventure', 'Comedy', 'Crime', 'Drama', 'Family']",Joe Mantegna,Baby's Day Out ,2949,Cynthia Nixon,English,USA,PG,50000000.0,619.0,22.0,16671505,33186,78.0,5.9,0,True,True,False,False,True,False,True,False,True,False,False,-33328495.0,328239523.0,21433226.0,10.0,0.05925490909516469,0.005576300149990317,2.0,0.05318883775475416,0.0,2.0,0.05318883775475416,0.0
Andrzej Bartkowiak,96.0,43.0,77.0,Robin Shou,841.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",Chris Klein,Street Fighter: The Legend of Chun-Li ,1385,Josie Ho,English,Canada,PG-13,18000000.0,342.0,103.0,8742261,19824,179.0,3.7,0,True,False,False,True,True,True,False,False,False,False,True,-9257739.0,37589262.0,1736425.0,6.0,0.06127792911933881,0.004916767238290042,4.0,0.05594551700584608,0.0018185508422975442,4.0,0.057312852892963395,0.0021859107792013945
Brad Furman,127.0,65.0,345.0,Amy Ryan,788.0,"['Biography', 'Crime', 'Drama', 'Thriller']",Joseph Gilgun,The Infiltrator ,2104,Olympia Dukakis,English,UK,R,25000000.0,423.0,72.0,14946229,2581,29.0,7.3,0,True,False,False,True,True,False,False,False,False,False,True,-10053771.0,66834405.0,2829108.0,4.0,0.06894716188396487,0.0009108218079194332,4.0,0.07147541236061616,0.0010162035648422607,4.0,0.07721977744687814,0.0020049692490470704
Roger Michell,91.0,50.0,67.0,Matt Malloy,521.0,"['Drama', 'Thriller']",Sydney Pollack,Changing Lanes ,758,Bruce Altman,English,USA,R,45000000.0,108.0,167.0,66790248,57281,350.0,6.5,0,True,False,False,True,False,False,False,False,False,False,False,21790248.0,328239523.0,21433226.0,2.0,0.0015824175824175823,0.0,4.0,0.001978021978021978,3.092773541322354e-06,4.0,0.001978021978021978,3.092773541322354e-06
David McNally,107.0,18.0,560.0,Tyra Banks,811.0,"['Comedy', 'Drama', 'Music', 'Romance']",Adam Garcia,Coyote Ugly ,3106,Izabella Miko,English,USA,PG-13,45000000.0,625.0,155.0,60786269,90539,379.0,5.6,0,True,True,True,False,False,False,False,False,False,False,True,15786269.0,328239523.0,21433226.0,6.0,0.05914611094355973,0.0018445229329279273,4.0,0.060104483555333016,0.0015015110522663595,4.0,0.055589823437234884,0.0009108218079194332
Ron Shelton,135.0,41.0,808.0,Cheech Marin,982.0,"['Comedy', 'Drama', 'Romance', 'Sport']",Don Johnson,Tin Cup ,3648,Rene Russo,English,USA,R,45000000.0,843.0,48.0,53854588,37911,73.0,6.3,1000,True,True,True,False,False,False,False,False,False,False,True,8854588.0,328239523.0,21433226.0,6.0,0.0864713133715677,0.008494992938208244,10.0,0.08649575410457265,0.016022923442455324,6.0,0.08493532556813158,0.004471859752490796
Joel Zwick,93.0,38.0,631.0,Nick Zano,1000.0,"['Comedy', 'Family', 'Fantasy', 'Romance']",Dania Ramirez,Fat Albert ,4604,Alice Greczyn,English,USA,PG,26000000.0,641.0,59.0,48114556,9380,91.0,4.3,531,False,True,True,False,False,False,False,False,True,True,False,22114556.0,328239523.0,21433226.0,2.0,0.053782421444987356,0.0,2.0,0.053782421444987356,0.0,4.0,0.05999254617172673,0.0009108218079194332
Wayne Wang,112.0,61.0,501.0,Alicia Witt,1000.0,"['Adventure', 'Comedy', 'Drama']",LL Cool J,Last Holiday ,3757,Timothy Hutton,English,USA,PG-13,45000000.0,976.0,99.0,38360195,21215,116.0,6.4,0,True,True,False,False,False,False,True,False,False,False,False,-6639805.0,328239523.0,21433226.0,8.0,0.09806825124883128,0.03479263678617255,10.0,0.0885992987903816,0.014925670507656228,6.0,0.08881787201334439,0.005773829893292842
Frank Oz,96.0,0.0,563.0,Vincent Kartheiser,1000.0,"['Drama', 'Family', 'Fantasy']",Steve Coogan,The Indian in the Cupboard ,2965,David Keith,English,USA,PG,45000000.0,845.0,25.0,35617599,20688,47.0,5.9,0,True,False,False,False,False,False,False,False,True,True,False,-9382401.0,328239523.0,21433226.0,6.0,0.07814657252859501,0.004367132455711421,2.0,0.07067482171408268,0.0,10.0,0.07587948872352543,0.006195775187105743
John Schultz,86.0,13.0,553.0,Carter Jenkins,1000.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Malese Jow,Aliens in the Attic ,3423,Tim Meadows,English,USA,PG,45000000.0,701.0,82.0,25200412,16580,55.0,5.4,916,False,True,False,False,False,False,True,False,True,True,True,-19799588.0,328239523.0,21433226.0,2.0,0.0013186813186813187,0.0,2.0,0.0013186813186813187,0.0,4.0,0.001978021978021978,3.092773541322354e-06
Simon Wincer,100.0,23.0,579.0,Treat Williams,1000.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Cary-Hiroyuki Tagawa,The Phantom ,3855,Kristy Swanson,English,Australia,PG,45000000.0,642.0,60.0,17300889,27648,148.0,4.9,0,False,True,False,False,False,True,True,False,False,True,False,-27699111.0,25364307.0,1396567.0,4.0,0.07140036818058283,0.0012303910717027977,4.0,0.06703657787995138,0.0008208425015812875,2.0,0.06412866261986129,0.0
Mike Newell,139.0,179.0,50.0,Giovanna Mezzogiorno,267.0,"['Drama', 'Romance']",Marcela Mar,Love in the Time of Cholera ,538,Unax Ugalde,English,USA,R,45000000.0,202.0,115.0,4584886,19114,115.0,6.4,0,True,False,True,False,False,False,False,False,False,False,False,-40415114.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
George P. Cosmatos,103.0,170.0,269.0,Ben Gazzara,849.0,"['Action', 'Thriller']",Sam Waterston,Shadow Conspiracy ,2457,Nicholas Turturro,English,USA,R,45000000.0,623.0,24.0,2154540,3803,41.0,4.9,68,False,False,False,True,False,True,False,False,False,False,False,-42845460.0,328239523.0,21433226.0,2.0,0.0717182981068615,0.0,6.0,0.07688994422662765,0.004953058702964477,4.0,0.079065231371135,0.0035114253687566904
Norman Ferguson,88.0,3.0,40.0,Dickie Jones,1000.0,"['Animation', 'Family', 'Fantasy', 'Musical']",Mel Blanc,Pinocchio ,1178,Cliff Edwards,English,USA,Approved,2600000.0,48.0,105.0,84300000,90360,147.0,7.5,0,False,False,False,False,False,False,False,False,True,True,True,81700000.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
Burr Steers,99.0,23.0,135.0,Charlie Tahan,405.0,"['Drama', 'Fantasy', 'Romance']",Augustus Prew,Charlie St. Cloud ,1066,Valerie Tian,English,USA,PG-13,44000000.0,268.0,117.0,31136950,47364,75.0,6.5,0,True,False,True,False,False,False,False,False,False,True,False,-12863050.0,328239523.0,21433226.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0,2.0,0.0008791208791208791,0.0
John Glen,133.0,46.0,275.0,Talisa Soto,683.0,"['Action', 'Adventure', 'Thriller']",Robert Davi,Licence to Kill ,2371,Anthony Zerbe,English,UK,PG-13,32000000.0,349.0,117.0,34667015,74009,317.0,6.6,0,False,False,False,True,False,True,True,False,False,False,False,2667015.0,66834405.0,2829108.0,2.0,0.04604603942551581,0.0,4.0,0.05052368796796732,0.0009108218079194332,2.0,0.04604603942551581,0.0
