director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes
Geoff Murphy,92,14,488,Brenda Bakke,789,Action|Thriller,Peter Greene,Under Siege 2: Dark Territory ,2318,Patrick Kilpatrick,English,USA,R,60000000,520
Kenneth Branagh,105,0,288,Nonso Anozie,539,Action|Drama|Thriller,Colm Feore,Jack Ryan: Shadow Recruit ,1411,Gemma Chan,English,USA,PG-13,60000000,394
Graham Annable,96,7,642,Dee Bradley Baker,874,Adventure|Animation|Comedy|Family|Fantasy,Isaac Hempstead Wright,The Boxtrolls ,3151,Tracy Morgan,English,USA,PG,60000000,668
Griffin Dunne,104,165,944,Dianne Wiest,1000,Comedy|Drama|Fantasy|Romance,Goran Visnjic,Practical Magic ,4294,Stockard Channing,English,USA,PG-13,48000000,967
John Pasquin,115,11,642,Diedrich Bader,1000,Action|Comedy|Crime,Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,4305,Treat Williams,English,USA,PG-13,45000000,759
Clark Johnson,107,69,206,David Rasche,310,Action|Crime|Thriller,Blair Brown,The Sentinel ,1352,Martin Donovan,English,USA,PG-13,60000000,219
Joel Coen,100,0,210,Paul Adelstein,436,Comedy|Crime|Romance,Cedric the Entertainer,Intolerable Cruelty ,1395,Julia Duffy,English,USA,PG-13,60000000,399
Peter Hyams,110,0,308,Penelope Ann Miller,510,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,The Relic ,1976,Chi Muoi Lo,English,UK,R,40000000,344
Scott Stewart,87,124,77,Alan Dale,865,Action|Fantasy|Horror|Sci-Fi|Thriller,Josh Wingate,Priest ,1417,Jacob Hopkins,English,USA,PG-13,60000000,441
Tom Shadyac,104,293,256,Susanna Thompson,780,Drama|Fantasy|Mystery|Romance|Thriller,Joe Morton,Dragonfly ,2109,Matt Craven,English,USA,PG-13,60000000,265
Rod Lurie,131,37,507,Delroy Lindo,968,Action|Drama|Thriller,Clifton Collins Jr.,The Last Castle ,3012,Michael Irby,English,USA,R,60000000,848
Brian Robbins,90,48,196,Mike O'Malley,973,Adventure|Comedy|Family|Romance|Sci-Fi,Marc Blucas,Meet Dave ,1865,Shawn Christian,English,USA,PG,60000000,400
Walter Salles,103,179,87,Camryn Manheim,794,Drama|Horror|Thriller,Dougray Scott,Dark Water ,1467,Ariel Gade,English,USA,PG-13,30000000,329
Stephen Herek,114,65,440,Morgan Fairchild,743,Comedy|Drama,Kelly Preston,Holy Man ,2367,Eric McCormack,English,USA,PG,60000000,730
Mark Waters,95,70,512,Ivana Milicevic,970,Comedy|Fantasy|Romance,Jon Heder,Just Like Heaven ,2876,Willie Garson,English,USA,PG-13,58000000,834
Brian Levant,90,32,809,Mark Addy,1000,Comedy|Family|Romance|Sci-Fi,Taylor Negron,The Flintstones in Viva Rock Vegas ,6299,Danny Woodburn,English,USA,PG,60000000,891
George Clooney,114,0,110,Malcolm Goodwin,142,Comedy|Drama|Romance|Sport,Robert Baker,Leatherheads ,589,Matt Bushell,English,USA,PG-13,58000000,117
Marc Lawrence,103,30,727,Kim Shaw,963,Comedy|Drama|Romance,Michael Kelly,Did You Hear About the Morgans? ,3150,Kevin Brown,English,USA,PG-13,58000000,935
Shawn Levy,125,189,839,Jessica Szohr,1000,Comedy,Josh Gad,The Internship ,5081,Rob Riggle,English,USA,PG-13,58000000,847
Anthony Hemingway,125,143,519,Nate Parker,1000,Action|Adventure|Drama|History|War,David Oyelowo,Red Tails ,4416,Tristan Mack Wilds,English,USA,PG-13,58000000,664
Tim Hill,92,25,639,Beth Riesgraf,1000,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,Alvin and the Chipmunks ,2847,Matthew Gray Gubler,English,USA,PG,60000000,718
Tom Shadyac,95,293,744,James Coburn,851,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,The Nutty Professor ,3155,Dave Chappelle,English,USA,PG-13,54000000,773
Brad Silberling,100,52,394,Fred Rogers,795,Comedy|Family|Fantasy,Eric Idle,Casper ,2638,Cathy Moriarty,English,USA,PG,50000000,419
Robert Schwentke,98,124,354,Michael Irby,931,Drama|Mystery|Thriller,Erika Christensen,Flightplan ,2287,Haley Ramm,English,USA,PG-13,55000000,507
,44,,72,Don S. Davis,847,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Stargate SG-1             ,1359,Gary Jones,English,USA,TV-14,1400000,440
Tom Dey,110,9,95,Jason Connery,485,Action|Adventure|Comedy|Western,Xander Berkeley,Shanghai Noon ,939,Kate Luyben,English,USA,PG-13,55000000,110
Stuart Baird,133,53,263,Joe Morton,1000,Action|Adventure|Thriller,Oliver Platt,Executive Decision ,2916,J.T. Walsh,English,USA,R,55000000,780
Mark Waters,94,70,497,Ophelia Lovibond,1000,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,2820,Philip Baker Hall,English,USA,PG,55000000,549
Jimmy Hayward,91,39,562,Carlos Ponce,1000,Adventure|Animation|Comedy|Family,Amy Poehler,Free Birds ,3104,Dan Fogler,English,USA,PG,55000000,591
Alan Parker,135,317,34,Jimmy Nail,57,Biography|Drama|History|Musical,Andrea Corr,Evita ,164,Peter Polycarpou,English,USA,PG,55000000,40
Stephen Hopkins,110,81,163,Bernard Hill,1000,Adventure|Drama|Horror|Thriller,Tom Wilkinson,The Ghost and the Darkness ,1752,Om Puri,English,USA,R,55000000,416
Paul King,95,17,594,Matt Lucas,838,Animation|Comedy|Family|Fantasy,Julie Walters,Paddington ,3697,Sally Hawkins,English,UK,PG,55000000,722
Karey Kirkpatrick,107,11,506,Ronny Cox,939,Comedy|Drama|Family|Fantasy,Stephen Root,Imagine That ,3742,Richard Schiff,English,USA,PG,55000000,605
Jean-Pierre Jeunet,133,0,46,André Dussollier,226,Drama|Mystery|Romance|War,Denis Lavant,A Very Long Engagement ,405,Albert Dupontel,French,France,R,47000000,52
Stanley Kubrick,152,0,177,Shelley Winters,617,Crime|Drama|Romance,James Mason,Lolita ,1403,Lois Maxwell,English,UK,Not Rated,2000000,367
Anthony Russo,110,94,240,Billy Gardell,277,Comedy|Romance,Todd Stashwick,"You, Me and Dupree ",847,Amanda Detmer,English,USA,PG-13,54000000,245
Richard Lester,116,44,420,Ned Beatty,593,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,2908,Jackie Cooper,English,USA,PG,54000000,467
Martin Brest,121,102,43,Lenny Venito,117,Comedy|Crime|Romance,Todd Giebenhain,Gigli ,286,David Backus,English,USA,R,54000000,62
Kathryn Bigelow,157,0,304,Harold Perrineau,1000,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,2759,Parker Sawyers,English,USA,R,40000000,1000
Jay Chandrasekhar,107,422,379,Jessica Simpson,631,Action|Adventure|Comedy,Alice Greczyn,The Dukes of Hazzard ,2297,Michael Weston,English,USA,PG-13,50000000,534
Pierre Morel,92,180,75,Amber Rose Revah,211,Action|Thriller,Kasia Smutniak,From Paris with Love ,488,Rebecca Dayan,English,France,R,52000000,135
Paul Hunter,104,13,343,Mako,961,Action|Comedy|Fantasy,Jaime King,Bulletproof Monk ,2422,Victoria Smurfit,English,USA,PG-13,52000000,691
Bobby Farrelly,116,101,79,Tony Cox,889,Comedy,Robert Forster,"Me, Myself & Irene ",1711,Rob Moran,English,USA,R,51000000,624
Steve Oedekerk,90,176,523,Wanda Sykes,677,Animation|Comedy|Family,Rob Paulsen,Barnyard ,2055,Maurice LaMarche,English,Germany,PG,51000000,560
Andrew Adamson,90,80,21,Chris Miller,145,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Shrek ,275,Bobby Block,English,USA,PG,60000000,50
James L. Brooks,139,274,285,Yeardley Smith,625,Comedy|Drama|Romance,Lupe Ontiveros,As Good as It Gets ,1474,Shirley Knight,English,USA,PG-13,50000000,440
Brian Helgeland,90,241,416,Deborah Kara Unger,1000,Action|Crime|Drama|Thriller,Bill Duke,Payback ,3148,William Devane,English,USA,R,50000000,495
Frank Marshall,109,155,293,Joe Don Baker,426,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Congo ,1761,Grant Heslov,English,USA,PG-13,50000000,387
David Dobkin,114,71,55,Anna-Louise Plowman,154,Action|Adventure|Comedy,Fann Wong,Shanghai Knights ,428,Georgina Chapman,English,USA,PG-13,50000000,131
Angela Robinson,101,23,541,Thomas Lennon,660,Adventure|Comedy|Family|Fantasy|Romance|Sport,Scoot McNairy,Herbie Fully Loaded ,2177,Cheryl Hines,English,USA,G,50000000,651
Gary Fleder,113,39,477,Jennifer Esposito,1000,Crime|Drama|Mystery|Thriller,Oliver Platt,Don't Say a Word ,3341,Conrad Goode,English,USA,R,50000000,912
Adrian Lyne,124,213,372,Erik Per Sullivan,838,Drama|Thriller,Olivier Martinez,Unfaithful ,2583,Chad Lowe,English,USA,R,50000000,593
Michael Bay,144,0,681,James Badge Dale,769,Action|Drama|Thriller|War,Toby Stephens,13 Hours ,3580,David Costabile,English,USA,R,50000000,726
Christophe Gans,132,50,368,Deborah Kara Unger,992,Adventure|Horror|Mystery,Radha Mitchell,Silent Hill ,1933,Alice Krige,English,Canada,R,50000000,495
Steven Quale,89,77,159,Alycia Debnam-Carey,490,Action|Thriller,Matt Walsh,Into the Storm ,1367,Scott Lawrence,English,USA,PG-13,50000000,298
Mimi Leder,124,75,258,Holt McCallany,294,Action|Thriller,Armin Mueller-Stahl,The Peacemaker ,1289,Marcel Iures,English,USA,R,50000000,273
Steven Seagal,101,0,158,Joan Chen,854,Action|Adventure|Thriller,Mike Starr,On Deadly Ground ,1860,Sven-Ole Thorsen,English,USA,R,50000000,643
Garry Marshall,119,0,434,Felicity Huffman,627,Comedy|Drama|Romance,Amber Valletta,Raising Helen ,2052,Spencer Breslin,English,USA,PG-13,50000000,508
James McTeigue,99,160,72,Ben Miles,330,Action|Crime|Thriller,Shô Kosugi,Ninja Assassin ,701,Rain,English,USA,R,40000000,119
Peter Webber,131,73,163,Stephen Walters,879,Crime|Drama|Thriller,Li Gong,Hannibal Rising ,1344,Richard Brake,English,UK,R,50000000,184
John McTiernan,98,323,511,Harry Connick Jr.,933,Action|Crime|Drama|Mystery|Thriller,Connie Nielsen,Basic ,3357,Tim Daly,English,Germany,R,50000000,631
Stephen Herek,100,65,730,Vanessa Ferlito,1000,Action|Comedy,Christina Milian,Man of the House ,6171,Kelli Garner,English,USA,PG-13,40000000,923
Costa-Gavras,115,333,317,Blythe Danner,972,Crime|Drama|Thriller,Mia Kirshner,Mad City ,2606,William Atherton,English,USA,PG-13,50000000,713
Patrick Read Johnson,99,32,479,Lara Flynn Boyle,1000,Adventure|Comedy|Crime|Drama|Family,Joe Mantegna,Baby's Day Out ,2949,Cynthia Nixon,English,USA,PG,50000000,619
Richard LaGravenese,124,98,592,Zoey Deutch,1000,Drama|Fantasy|Romance,Alden Ehrenreich,Beautiful Creatures ,3580,Pruitt Taylor Vince,English,USA,PG-13,60000000,852
Andrzej Bartkowiak,96,43,77,Robin Shou,841,Action|Crime|Drama|Mystery|Thriller,Chris Klein,Street Fighter: The Legend of Chun-Li ,1385,Josie Ho,English,Canada,PG-13,18000000,342
Renny Harlin,104,212,380,Gilbert Gottfried,879,Action|Adventure|Comedy|Crime|Music|Mystery,Lauren Holly,The Adventures of Ford Fairlane ,2795,David Patrick Kelly,English,USA,R,40000000,560
Chuck Bowman,89,42,235,Lochlyn Munro,598,Horror|Thriller,P.J. Soles,The Tooth Fairy ,2353,Steve Bacic,English,USA,,1500000,555
Jerry Zucker,112,109,261,Douglas Haase,779,Adventure|Comedy,Corinna Harney,Rat Race ,1823,Vince Vieluf,English,Canada,PG-13,48000000,629
John McTiernan,113,323,835,Faye Dunaway,1000,Crime|Romance|Thriller,Mark Margolis,The Thomas Crown Affair ,4660,Denis Leary,English,USA,R,48000000,977
Andrei Tarkovsky,115,0,12,Anatoliy Solonitsyn,29,Drama|Mystery|Sci-Fi,Donatas Banionis,Solaris ,95,Natalya Bondarchuk,Russian,Soviet Union,PG,1000000,29
Tom Shadyac,86,293,255,Swoosie Kurtz,509,Comedy|Fantasy|Romance,Maura Tierney,Liar Liar ,2070,Randall 'Tex' Cobb,English,USA,PG-13,45000000,418
Brad Furman,127,65,345,Amy Ryan,788,Biography|Crime|Drama|Thriller,Joseph Gilgun,The Infiltrator ,2104,Olympia Dukakis,English,UK,R,25000000,423
Terence Young,140,92,522,Ben Gazzara,1000,Drama|History|War,Laurence Olivier,Inchon ,2704,Jacqueline Bisset,English,South Korea,PG,48000000,623
Brian Levant,91,32,628,Elizabeth Perkins,924,Comedy|Family|Fantasy,Jonathan Winters,The Flintstones ,3244,Harvey Korman,English,USA,PG,45000000,664
David Zucker,84,119,750,Pamela Anderson,807,Comedy,Regina Hall,Scary Movie 3 ,3629,Jenny McCarthy,English,USA,PG-13,48000000,780
Donald Petrie,109,80,213,Wendy Raquel Robinson,545,Action|Comedy|Crime|Romance,Candice Bergen,Miss Congeniality ,1574,Heather Burns,English,USA,PG-13,45000000,337
Keenen Ivory Wayans,83,322,179,Veronica Cartwright,1000,Comedy,Natasha Lyonne,Scary Movie 2 ,1645,Andy Richter,English,USA,R,45000000,422
James Bobin,103,33,84,Eric Jacobson,970,Adventure|Comedy|Family|Musical,Bill Cobbs,The Muppets ,1336,Steve Whitmire,English,USA,PG,45000000,91
Stephen Norrington,110,45,595,Traci Lords,886,Action|Horror,Sanaa Lathan,Blade ,3174,Udo Kier,English,USA,R,45000000,650
Roger Michell,91,50,67,Matt Malloy,521,Drama|Thriller,Sydney Pollack,Changing Lanes ,758,Bruce Altman,English,USA,R,45000000,108
David McNally,107,18,560,Tyra Banks,811,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly ,3106,Izabella Miko,English,USA,PG-13,45000000,625
Ron Shelton,135,41,808,Cheech Marin,982,Comedy|Drama|Romance|Sport,Don Johnson,Tin Cup ,3648,Rene Russo,English,USA,R,45000000,843
Joel Zwick,93,38,631,Nick Zano,1000,Comedy|Family|Fantasy|Romance,Dania Ramirez,Fat Albert ,4604,Alice Greczyn,English,USA,PG,26000000,641
Wayne Wang,112,61,501,Alicia Witt,1000,Adventure|Comedy|Drama,LL Cool J,Last Holiday ,3757,Timothy Hutton,English,USA,PG-13,45000000,976
Frank Oz,96,0,563,Vincent Kartheiser,1000,Drama|Family|Fantasy,Steve Coogan,The Indian in the Cupboard ,2965,David Keith,English,USA,PG,45000000,845
Oliver Stone,141,0,404,Shea Whigham,749,Crime|Drama|Thriller,Demián Bichir,Savages ,1948,Gary Stretch,English,USA,R,45000000,463
David R. Ellis,94,160,167,Valerie Cruz,550,Action|Crime|Thriller,Richard Burgi,Cellular ,1102,Will Beinbrink,English,USA,PG-13,25000000,216
Peter Howitt,87,29,252,Natalie Imbruglia,427,Action|Adventure|Comedy,Kevin McNally,Johnny English ,1461,Ben Miller,English,UK,PG,35000000,304
John Schultz,86,13,553,Carter Jenkins,1000,Adventure|Comedy|Family|Fantasy|Sci-Fi,Malese Jow,Aliens in the Attic ,3423,Tim Meadows,English,USA,PG,45000000,701
Sean Penn,124,0,19,Adrien Dorval,723,Crime|Drama|Mystery|Thriller,Costas Mandylor,The Pledge ,793,Nels Lennarson,English,USA,R,45000000,44
Pete Travis,95,38,20,Jason Cope,409,Action|Sci-Fi,Wood Harris,Dredd ,578,Rakie Ayola,English,UK,R,35000000,107
Simon Wincer,100,23,579,Treat Williams,1000,Action|Adventure|Comedy|Fantasy,Cary-Hiroyuki Tagawa,The Phantom ,3855,Kristy Swanson,English,Australia,PG,45000000,642
Mike Newell,139,179,50,Giovanna Mezzogiorno,267,Drama|Romance,Marcela Mar,Love in the Time of Cholera ,538,Unax Ugalde,English,USA,R,45000000,202
George P. Cosmatos,103,170,269,Ben Gazzara,849,Action|Thriller,Sam Waterston,Shadow Conspiracy ,2457,Nicholas Turturro,English,USA,R,45000000,623
Oliver Parker,101,32,104,Tim McInnerny,219,Action|Adventure|Comedy|Crime,Daniel Kaluuya,Johnny English Reborn ,661,Togo Igawa,English,USA,PG,45000000,141
Ben Affleck,130,0,650,Scoot McNairy,1000,Biography|Drama|History|Thriller,Clea DuVall,Argo ,3133,Tate Donovan,English,USA,R,44500000,660
Norman Ferguson,88,3,40,Dickie Jones,1000,Animation|Family|Fantasy|Musical,Mel Blanc,Pinocchio ,1178,Cliff Edwards,English,USA,Approved,2600000,48
Len Wiseman,102,235,520,Tony Curran,956,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Underworld: Evolution ,2998,Derek Jacobi,English,USA,R,50000000,845
Roger Kumble,90,16,16,Lillian Adams,44,Comedy|Romance,Judith Chapman,The Sweetest Thing ,132,Chelsea Bond,English,USA,R,43000000,28
Burr Steers,99,23,135,Charlie Tahan,405,Drama|Fantasy|Romance,Augustus Prew,Charlie St. Cloud ,1066,Valerie Tian,English,USA,PG-13,44000000,268
Peter Lord,84,91,206,Miranda Richardson,579,Adventure|Animation|Comedy|Drama|Family,Imelda Staunton,Chicken Run ,1817,Julia Sawalha,English,UK,G,45000000,530
Reginald Hudlin,117,71,547,Eartha Kitt,723,Comedy|Drama|Romance,John Witherspoon,Boomerang ,3841,Geoffrey Holder,English,USA,R,40000000,558
Paul Feig,123,176,749,William Xifaras,975,Action|Comedy|Crime,Michael Rapaport,The Heat ,4825,Demián Bichir,English,USA,R,43000000,815
Mark Pellington,119,89,395,Will Patton,650,Drama|Horror|Mystery|Thriller,Debra Messing,The Mothman Prophecies ,1651,David Eigenberg,English,USA,PG-13,32000000,537
Larry Charles,81,119,412,Elton John,468,Comedy,Bono,Brüno ,2134,Slash,English,USA,R,42000000,442
John Glen,133,46,275,Talisa Soto,683,Action|Adventure|Thriller,Robert Davi,Licence to Kill ,2371,Anthony Zerbe,English,UK,PG-13,32000000,349
Julie Anne Robinson,91,30,497,Debbie Reynolds,922,Action|Comedy|Crime|Romance|Thriller,Fisher Stevens,One for the Money ,3301,Patrick Fischler,English,USA,PG-13,40000000,786
Sngmoo Lee,100,19,433,Dong-gun Jang,624,Action|Fantasy|Western,Tony Cox,The Warrior's Way ,2056,Jed Brophy,English,New Zealand,R,45000000,489
Jean-Pierre Jeunet,105,0,52,Dany Boon,1000,Action|Comedy|Crime,Omar Sy,Micmacs ,1342,André Dussollier,French,France,R,27000000,172
Curtis Hanson,110,161,196,Omar Benson Miller,1000,Drama|Music,Mekhi Phifer,8 Mile ,1954,Evan Jones,English,USA,R,41000000,418
Gordon Chan,108,4,96,Lee Evans,687,Action|Comedy|Fantasy,Julian Sands,The Medallion ,1134,Anthony Chau-Sang Wong,English,Hong Kong,PG-13,41000000,312
Asger Leth,102,20,54,Mandy Gonzalez,107,Action|Crime|Thriller,Robert Clohessy,Man on a Ledge ,362,J. Smith-Cameron,English,USA,PG-13,42000000,81
David Frankel,100,64,296,Kevin Pollak,734,Comedy,Joel McHale,The Big Year ,2085,JoBeth Williams,English,USA,PG,41000000,574
John G. Avildsen,126,80,225,William Zabka,668,Action|Drama|Family|Sport,Martin Kove,The Karate Kid ,2004,William Bassett,English,USA,PG,8000000,641
Robert Zemeckis,108,0,690,Jeffrey Weissman,1000,Adventure|Comedy|Sci-Fi,Lea Thompson,Back to the Future Part II ,3660,Thomas F. Wilson,English,USA,PG,40000000,869
Sam Taylor-Johnson,129,456,716,Luke Grimes,1000,Drama|Romance,Jennifer Ehle,Fifty Shades of Grey ,4585,Callum Rennie,English,USA,R,40000000,935
James Wan,134,0,336,Frances O'Connor,1000,Horror|Mystery|Thriller,Javier Botet,The Conjuring 2 ,2676,Robin Atkin Downes,English,USA,R,40000000,575
Ken Kwapis,129,42,49,Sabrina Revelle,97,Comedy|Drama|Romance,Carmen Perez,He's Just Not That Into You ,318,Sachiko Ishida,English,USA,PG-13,40000000,50
Wes Craven,116,0,71,Roger Jackson,287,Horror|Mystery,Kelly Rutherford,Scream 3 ,600,Nancy O'Dell,English,USA,R,40000000,157
Robert Zemeckis,118,0,690,Jeffrey Weissman,1000,Adventure|Comedy|Sci-Fi|Western,Lea Thompson,Back to the Future Part III ,3986,Thomas F. Wilson,English,USA,PG,40000000,869
Michael Mann,117,0,322,Terry Kinney,855,Action|Adventure|Drama|Romance|War,Wes Studi,The Last of the Mohicans ,2144,Eric Schweig,English,USA,R,40000000,363
Bobby Farrelly,114,101,398,Bruce McGill,700,Comedy|Drama|Fantasy|Romance,Jason Alexander,Shallow Hal ,2842,Susan Ward,English,USA,PG-13,40000000,655
Nick Cassavetes,109,415,119,Kate Upton,982,Comedy|Romance,Don Johnson,The Other Woman ,2357,David Thornton,English,USA,PG-13,40000000,971
John Moore,106,212,389,David Keith,578,Action|Drama|Thriller|War,Joaquim de Almeida,Behind Enemy Lines ,2544,Sam Jaeger,English,USA,PG-13,40000000,563
Peter Chelsom,106,23,418,Nick Cannon,1000,Comedy|Drama|Romance,Lisa Ann Walter,Shall We Dance ,2325,Omar Benson Miller,English,USA,PG-13,50000000,593
Mel Gibson,139,0,19,Dalia Hernández,708,Action|Adventure|Drama|Thriller,Rudy Youngblood,Apocalypto ,848,Jonathan Brewer,Maya,USA,R,40000000,78
John Glen,130,46,162,Desmond Llewelyn,387,Action|Adventure|Thriller,Joe Don Baker,The Living Daylights ,1233,Art Malik,English,UK,PG,30000000,244
Ivan Reitman,116,425,204,Debra Winger,954,Comedy|Crime|Romance,Brian Dennehy,Legal Eagles ,2179,Roscoe Lee Browne,English,USA,PG,40000000,568
Iain Softley,104,34,280,Deneen Tyler,545,Horror|Mystery|Thriller,Gena Rowlands,The Skeleton Key ,1274,Joy Bryant,English,USA,PG-13,43000000,351
Paul Weiland,101,10,681,Beau Garrett,1000,Comedy|Romance,Busy Philipps,Made of Honor ,4298,Kevin Sussman,English,USA,PG-13,40000000,689
John McTiernan,106,323,0,José Wilker,472,Adventure|Drama|Romance,Lorraine Bracco,Medicine Man ,519,Sean Connery,English,USA,PG-13,40000000,47
Colin Strause,102,25,473,Johnny Lewis,1000,Action|Horror|Sci-Fi|Thriller,Sam Trammell,Aliens vs. Predator: Requiem ,4324,Ian Whyte,English,USA,R,40000000,741
Greg Mottola,109,99,57,Nelson Ascencio,176,Adventure|Comedy|Sci-Fi,Bobby Lee,Paul ,390,Jeremy Owen,English,USA,R,40000000,61
Anne Fletcher,95,98,78,Tom Virtue,405,Comedy|Drama,Miriam Margolyes,The Guilt Trip ,1070,Julene Renee,English,USA,PG-13,40000000,358
Oliver Stone,140,0,552,Kevin Dillon,720,Biography|Drama|Music|Musical,Michael Wincott,The Doors ,3044,Kathleen Quinlan,English,USA,R,38000000,576
Jake Kasdan,94,52,214,Randall Park,683,Comedy,James Wilcox,Sex Tape ,1488,Nat Faxon,English,USA,R,40000000,392
