movie_title,duration,genres,language,country,content_rating,budget,genre_Drama,genre_Comedy,genre_Romance,genre_Thriller,genre_Crime,genre_Action,genre_Adventure,genre_Horror,genre_Family,genre_Fantasy,genre_Other,director_name,actor_1_name,actor_2_name,actor_3_name,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,gross,imdb_score,movie_facebook_likes,num_critic_for_reviews,num_voted_users,num_user_for_reviews,gross_margin
The Last Castle ,131.0,Action|Drama|Thriller,English,USA,R,60000000.0,True,False,False,True,False,True,False,False,False,False,False,Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,37.0,968.0,848.0,507.0,3012,18208078.0,6.9,0,110.0,57100,281.0,-0.6965320333333334
Dark Water ,103.0,Drama|Horror|Thriller,English,USA,PG-13,30000000.0,True,False,False,True,False,False,False,True,False,False,False,Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,179.0,794.0,329.0,87.0,1467,25472967.0,5.6,0,196.0,44966,411.0,-0.1509011
Holy Man ,114.0,Comedy|Drama,English,USA,PG,60000000.0,True,True,False,False,False,False,False,False,False,False,False,Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,65.0,743.0,730.0,440.0,2367,12065985.0,4.9,296,56.0,16260,88.0,-0.79890025
Just Like Heaven ,95.0,Comedy|Fantasy|Romance,English,USA,PG-13,58000000.0,False,True,True,False,False,False,False,False,False,True,False,Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,70.0,970.0,834.0,512.0,2876,48291624.0,6.7,0,142.0,82819,263.0,-0.16738579310344828
The Flintstones in Viva Rock Vegas ,90.0,Comedy|Family|Romance|Sci-Fi,English,USA,PG,60000000.0,False,True,True,False,False,False,False,False,True,False,True,Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,32.0,1000.0,891.0,809.0,6299,35231365.0,3.6,500,57.0,15517,85.0,-0.4128105833333333
Leatherheads ,114.0,Comedy|Drama|Romance|Sport,English,USA,PG-13,58000000.0,True,True,True,False,False,False,False,False,False,False,True,George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,0.0,142.0,117.0,110.0,589,31199215.0,6.0,472,186.0,27664,120.0,-0.4620825
Did You Hear About the Morgans? ,103.0,Comedy|Drama|Romance,English,USA,PG-13,58000000.0,True,True,True,False,False,False,False,False,False,False,False,Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,30.0,963.0,935.0,727.0,3150,29580087.0,4.7,0,133.0,29523,121.0,-0.4899985
Red Tails ,125.0,Action|Adventure|Drama|History|War,English,USA,PG-13,58000000.0,True,False,False,False,False,True,True,False,False,False,True,Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,143.0,1000.0,664.0,519.0,4416,49875589.0,5.9,0,144.0,28807,273.0,-0.14007605172413792
Shanghai Noon ,110.0,Action|Adventure|Comedy|Western,English,USA,PG-13,55000000.0,False,True,False,False,False,True,True,False,False,False,True,Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,9.0,485.0,110.0,95.0,939,56932305.0,6.6,0,146.0,96690,293.0,0.03513281818181818
Executive Decision ,133.0,Action|Adventure|Thriller,English,USA,R,55000000.0,False,False,False,True,False,True,True,False,False,False,False,Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,53.0,1000.0,780.0,263.0,2916,68750000.0,6.4,0,60.0,40858,144.0,0.25
Free Birds ,91.0,Adventure|Animation|Comedy|Family,English,USA,PG,55000000.0,False,True,False,False,False,False,True,False,True,False,True,Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,39.0,1000.0,591.0,562.0,3104,55747724.0,5.9,0,118.0,18042,73.0,0.013594981818181818
Evita ,135.0,Biography|Drama|History|Musical,English,USA,PG,55000000.0,True,False,False,False,False,False,False,False,False,False,True,Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,317.0,57.0,40.0,34.0,164,49994804.0,6.3,0,76.0,29205,194.0,-0.09100356363636364
The Ghost and the Darkness ,110.0,Adventure|Drama|Horror|Thriller,English,USA,R,55000000.0,True,False,False,True,False,False,True,True,False,False,False,Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,81.0,1000.0,416.0,163.0,1752,38553833.0,6.8,0,62.0,46239,155.0,-0.2990212181818182
Imagine That ,107.0,Comedy|Drama|Family|Fantasy,English,USA,PG,55000000.0,True,True,False,False,False,False,False,False,True,True,False,Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,11.0,939.0,605.0,506.0,3742,16088610.0,5.6,610,93.0,10417,39.0,-0.7074798181818182
A Very Long Engagement ,133.0,Drama|Mystery|Romance|War,French,France,R,47000000.0,True,False,True,False,False,False,False,False,False,False,True,Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,0.0,226.0,52.0,46.0,405,6167817.0,7.7,0,186.0,62607,239.0,-0.8687698510638298
"You, Me and Dupree ",110.0,Comedy|Romance,English,USA,PG-13,54000000.0,False,True,True,False,False,False,False,False,False,False,False,Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,94.0,277.0,245.0,240.0,847,75604320.0,5.6,0,136.0,68417,195.0,0.40008
Bulletproof Monk ,104.0,Action|Comedy|Fantasy,English,USA,PG-13,52000000.0,False,True,False,False,False,True,False,False,False,True,False,Paul Hunter,Jaime King,Mako,Victoria Smurfit,13.0,961.0,691.0,343.0,2422,23020488.0,5.5,846,127.0,42324,180.0,-0.5572983076923077
Barnyard ,90.0,Animation|Comedy|Family,English,Germany,PG,51000000.0,False,True,False,False,False,False,False,False,True,False,True,Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,176.0,677.0,560.0,523.0,2055,72601713.0,5.6,605,98.0,21396,155.0,0.423563
Congo ,109.0,Action|Adventure|Mystery|Sci-Fi,English,USA,PG-13,50000000.0,False,False,False,False,False,True,True,False,False,False,True,Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,155.0,426.0,387.0,293.0,1761,81022333.0,5.0,0,55.0,34471,147.0,0.62044666
Shanghai Knights ,114.0,Action|Adventure|Comedy,English,USA,PG-13,50000000.0,False,True,False,False,False,True,True,False,False,False,False,David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,71.0,154.0,131.0,55.0,428,60470220.0,6.2,955,165.0,81444,192.0,0.2094044
Herbie Fully Loaded ,101.0,Adventure|Comedy|Family|Fantasy|Romance|Sport,English,USA,G,50000000.0,False,True,True,False,False,False,True,False,True,True,True,Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,23.0,660.0,651.0,541.0,2177,66002004.0,4.7,1000,117.0,36431,168.0,0.32004008
Don't Say a Word ,113.0,Crime|Drama|Mystery|Thriller,English,USA,R,50000000.0,True,False,False,True,True,False,False,False,False,False,True,Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,39.0,1000.0,912.0,477.0,3341,54997476.0,6.3,970,113.0,40362,248.0,0.09994952
On Deadly Ground ,101.0,Action|Adventure|Thriller,English,USA,R,50000000.0,False,False,False,True,False,True,True,False,False,False,False,Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,0.0,854.0,643.0,158.0,1860,38590500.0,4.4,812,47.0,17997,140.0,-0.22819
Raising Helen ,119.0,Comedy|Drama|Romance,English,USA,PG-13,50000000.0,True,True,True,False,False,False,False,False,False,False,False,Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,0.0,627.0,508.0,434.0,2052,37486138.0,6.0,718,93.0,30890,106.0,-0.25027724
Ninja Assassin ,99.0,Action|Crime|Thriller,English,USA,R,40000000.0,False,False,False,True,True,True,False,False,False,False,False,James McTeigue,Shô Kosugi,Ben Miles,Rain,160.0,330.0,119.0,72.0,701,38105077.0,6.4,0,235.0,58349,194.0,-0.047373075
Basic ,98.0,Action|Crime|Drama|Mystery|Thriller,English,Germany,R,50000000.0,True,False,False,True,True,True,False,False,False,False,True,John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,323.0,933.0,631.0,511.0,3357,26536120.0,6.5,0,131.0,49926,286.0,-0.4692776
Mad City ,115.0,Crime|Drama|Thriller,English,USA,PG-13,50000000.0,True,False,False,True,True,False,False,False,False,False,False,Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,333.0,972.0,713.0,317.0,2606,10556196.0,6.2,697,59.0,16562,73.0,-0.78887608
Baby's Day Out ,99.0,Adventure|Comedy|Crime|Drama|Family,English,USA,PG,50000000.0,True,True,False,False,True,False,True,False,True,False,False,Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,32.0,1000.0,619.0,479.0,2949,16671505.0,5.9,0,22.0,33186,78.0,-0.6665699
Street Fighter: The Legend of Chun-Li ,96.0,Action|Crime|Drama|Mystery|Thriller,English,Canada,PG-13,18000000.0,True,False,False,True,True,True,False,False,False,False,True,Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,43.0,841.0,342.0,77.0,1385,8742261.0,3.7,0,103.0,19824,179.0,-0.5143188333333333
The Infiltrator ,127.0,Biography|Crime|Drama|Thriller,English,UK,R,25000000.0,True,False,False,True,True,False,False,False,False,False,True,Brad Furman,Joseph Gilgun,Amy Ryan,Olympia Dukakis,65.0,788.0,423.0,345.0,2104,14946229.0,7.3,0,72.0,2581,29.0,-0.40215084
Changing Lanes ,91.0,Drama|Thriller,English,USA,R,45000000.0,True,False,False,True,False,False,False,False,False,False,False,Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,50.0,521.0,108.0,67.0,758,66790248.0,6.5,0,167.0,57281,350.0,0.48422773333333335
Coyote Ugly ,107.0,Comedy|Drama|Music|Romance,English,USA,PG-13,45000000.0,True,True,True,False,False,False,False,False,False,False,True,David McNally,Adam Garcia,Tyra Banks,Izabella Miko,18.0,811.0,625.0,560.0,3106,60786269.0,5.6,0,155.0,90539,379.0,0.3508059777777778
Tin Cup ,135.0,Comedy|Drama|Romance|Sport,English,USA,R,45000000.0,True,True,True,False,False,False,False,False,False,False,True,Ron Shelton,Don Johnson,Cheech Marin,Rene Russo,41.0,982.0,843.0,808.0,3648,53854588.0,6.3,1000,48.0,37911,73.0,0.19676862222222222
Fat Albert ,93.0,Comedy|Family|Fantasy|Romance,English,USA,PG,26000000.0,False,True,True,False,False,False,False,False,True,True,False,Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,38.0,1000.0,641.0,631.0,4604,48114556.0,4.3,531,59.0,9380,91.0,0.8505598461538462
Last Holiday ,112.0,Adventure|Comedy|Drama,English,USA,PG-13,45000000.0,True,True,False,False,False,False,True,False,False,False,False,Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,61.0,1000.0,976.0,501.0,3757,38360195.0,6.4,0,99.0,21215,116.0,-0.14755122222222222
The Indian in the Cupboard ,96.0,Drama|Family|Fantasy,English,USA,PG,45000000.0,True,False,False,False,False,False,False,False,True,True,False,Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,0.0,1000.0,845.0,563.0,2965,35617599.0,5.9,0,25.0,20688,47.0,-0.2084978
Aliens in the Attic ,86.0,Adventure|Comedy|Family|Fantasy|Sci-Fi,English,USA,PG,45000000.0,False,True,False,False,False,False,True,False,True,True,True,John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,13.0,1000.0,701.0,553.0,3423,25200412.0,5.4,916,82.0,16580,55.0,-0.4399908444444444
The Phantom ,100.0,Action|Adventure|Comedy|Fantasy,English,Australia,PG,45000000.0,False,True,False,False,False,True,True,False,False,True,False,Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,23.0,1000.0,642.0,579.0,3855,17300889.0,4.9,0,60.0,27648,148.0,-0.6155358
Love in the Time of Cholera ,139.0,Drama|Romance,English,USA,R,45000000.0,True,False,True,False,False,False,False,False,False,False,False,Mike Newell,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,179.0,267.0,202.0,50.0,538,4584886.0,6.4,0,115.0,19114,115.0,-0.8981136444444444
Shadow Conspiracy ,103.0,Action|Thriller,English,USA,R,45000000.0,False,False,False,True,False,True,False,False,False,False,False,George P. Cosmatos,Sam Waterston,Ben Gazzara,Nicholas Turturro,170.0,849.0,623.0,269.0,2457,2154540.0,4.9,68,24.0,3803,41.0,-0.9521213333333334
Pinocchio ,88.0,Animation|Family|Fantasy|Musical,English,USA,Approved,2600000.0,False,False,False,False,False,False,False,False,True,True,True,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,3.0,1000.0,48.0,40.0,1178,84300000.0,7.5,0,105.0,90360,147.0,31.423076923076923
Charlie St. Cloud ,99.0,Drama|Fantasy|Romance,English,USA,PG-13,44000000.0,True,False,True,False,False,False,False,False,False,True,False,Burr Steers,Augustus Prew,Charlie Tahan,Valerie Tian,23.0,405.0,268.0,135.0,1066,31136950.0,6.5,0,117.0,47364,75.0,-0.29234204545454545
Licence to Kill ,133.0,Action|Adventure|Thriller,English,UK,PG-13,32000000.0,False,False,False,True,False,True,True,False,False,False,False,John Glen,Robert Davi,Talisa Soto,Anthony Zerbe,46.0,683.0,349.0,275.0,2371,34667015.0,6.6,0,117.0,74009,317.0,0.08334421875
The Warrior's Way ,100.0,Action|Fantasy|Western,English,New Zealand,R,45000000.0,False,False,False,False,False,True,False,False,False,True,True,Sngmoo Lee,Tony Cox,Dong-gun Jang,Jed Brophy,19.0,624.0,489.0,433.0,2056,5664251.0,6.3,0,95.0,22309,102.0,-0.8741277555555556
Micmacs ,105.0,Action|Comedy|Crime,French,France,R,27000000.0,False,True,False,False,True,True,False,False,False,False,False,Jean-Pierre Jeunet,Omar Sy,Dany Boon,André Dussollier,0.0,1000.0,172.0,52.0,1342,1260917.0,7.2,0,213.0,24657,71.0,-0.9532993703703704
The Medallion ,108.0,Action|Comedy|Fantasy,English,Hong Kong,PG-13,41000000.0,False,True,False,False,False,True,False,False,False,True,False,Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,4.0,687.0,312.0,96.0,1134,22108977.0,5.2,505,98.0,29861,132.0,-0.4607566585365854
Behind Enemy Lines ,106.0,Action|Drama|Thriller|War,English,USA,PG-13,40000000.0,True,False,False,True,False,True,False,False,False,False,True,John Moore,Joaquim de Almeida,David Keith,Sam Jaeger,212.0,578.0,563.0,389.0,2544,59068786.0,6.4,0,131.0,86902,411.0,0.47671965
Shall We Dance ,106.0,Comedy|Drama|Romance,English,USA,PG-13,50000000.0,True,True,True,False,False,False,False,False,False,False,False,Peter Chelsom,Lisa Ann Walter,Nick Cannon,Omar Benson Miller,23.0,1000.0,593.0,418.0,2325,57887882.0,6.1,0,118.0,35508,211.0,0.15775764
The Living Daylights ,130.0,Action|Adventure|Thriller,English,UK,PG,30000000.0,False,False,False,True,False,True,True,False,False,False,False,John Glen,Joe Don Baker,Desmond Llewelyn,Art Malik,46.0,387.0,244.0,162.0,1233,51185897.0,6.7,0,105.0,69457,271.0,0.7061965666666666
Legal Eagles ,116.0,Comedy|Crime|Romance,English,USA,PG,40000000.0,False,True,True,False,True,False,False,False,False,False,False,Ivan Reitman,Brian Dennehy,Debra Winger,Roscoe Lee Browne,425.0,954.0,568.0,204.0,2179,49851591.0,5.9,263,16.0,7900,34.0,0.246289775
The Skeleton Key ,104.0,Horror|Mystery|Thriller,English,USA,PG-13,43000000.0,False,False,False,True,False,False,False,True,False,False,True,Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant,34.0,545.0,351.0,280.0,1274,47806295.0,6.5,0,193.0,87447,371.0,0.1117743023255814
Medicine Man ,106.0,Adventure|Drama|Romance,English,USA,PG-13,40000000.0,True,False,True,False,False,False,True,False,False,False,False,John McTiernan,Lorraine Bracco,José Wilker,Sean Connery,323.0,472.0,47.0,0.0,519,45500797.0,6.0,694,25.0,17443,56.0,0.137519925
The Guilt Trip ,95.0,Comedy|Drama,English,USA,PG-13,40000000.0,True,True,False,False,False,False,False,False,False,False,False,Anne Fletcher,Miriam Margolyes,Tom Virtue,Julene Renee,98.0,405.0,358.0,78.0,1070,37101011.0,5.8,0,147.0,30394,103.0,-0.072474725
The Doors ,140.0,Biography|Drama|Music|Musical,English,USA,R,38000000.0,True,False,False,False,False,False,False,False,False,False,True,Oliver Stone,Michael Wincott,Kevin Dillon,Kathleen Quinlan,0.0,720.0,576.0,552.0,3044,35183792.0,7.2,0,82.0,68159,209.0,-0.07411073684210526
Sex Tape ,94.0,Comedy,English,USA,R,40000000.0,False,True,False,False,False,False,False,False,False,False,False,Jake Kasdan,James Wilcox,Randall Park,Nat Faxon,52.0,683.0,392.0,214.0,1488,38543473.0,5.1,0,201.0,84382,158.0,-0.036413175
Hanging Up ,94.0,Comedy|Drama,English,Germany,PG-13,60000000.0,True,True,False,False,False,False,False,False,False,False,False,Diane Keaton,Adam Arkin,Celia Weston,Jesse James,0.0,374.0,258.0,235.0,1238,36037909.0,4.7,390,82.0,10132,130.0,-0.39936818333333335
Mickey Blue Eyes ,102.0,Comedy|Crime|Romance,English,UK,PG-13,40000000.0,False,True,True,False,True,False,False,False,False,False,False,Kelly Makin,Jeanne Tripplehorn,Burt Young,Vincent Pastore,6.0,711.0,683.0,584.0,2913,33864342.0,5.8,445,90.0,29968,117.0,-0.15339145
Fever Pitch ,104.0,Comedy|Drama|Romance|Sport,English,USA,PG-13,30000000.0,True,True,True,False,False,False,False,False,False,False,True,Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye,101.0,787.0,299.0,223.0,1827,42071069.0,6.2,0,124.0,36223,208.0,0.40236896666666666
Drillbit Taylor ,102.0,Comedy|Drama,English,USA,PG-13,40000000.0,True,True,False,False,False,False,False,False,False,False,False,Steven Brill,Lisa Ann Walter,Shaun Weiss,Matt Walsh,65.0,1000.0,613.0,490.0,3239,32853640.0,5.7,702,146.0,50199,101.0,-0.178659
Morning Glory ,107.0,Comedy|Drama|Romance,English,USA,PG-13,40000000.0,True,True,True,False,False,False,False,False,False,False,False,Roger Michell,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga,50.0,293.0,117.0,58.0,621,30993544.0,6.5,0,212.0,58871,156.0,-0.2251614
The Out-of-Towners ,90.0,Comedy,English,USA,PG-13,40000000.0,False,True,False,False,False,False,False,False,False,False,False,Sam Weisman,Oliver Hudson,Valerie Perri,Carlease Burke,39.0,607.0,322.0,210.0,1335,28535768.0,5.3,279,62.0,10446,105.0,-0.2866058
The Musketeer ,104.0,Action|Adventure|Romance,English,Germany,PG-13,40000000.0,False,False,True,False,False,True,True,False,False,False,False,Peter Hyams,Catherine Deneuve,Justin Chambers,Stephen Rea,0.0,964.0,931.0,327.0,2888,27053815.0,4.7,299,107.0,12856,291.0,-0.323654625
The Reaping ,99.0,Horror|Thriller,English,USA,R,40000000.0,False,False,False,True,False,False,False,True,False,False,False,Stephen Hopkins,Stephen Rea,Andrea Frankle,William Ragsdale,81.0,327.0,253.0,135.0,960,25117498.0,5.7,0,190.0,37412,178.0,-0.37206255
At First Sight ,128.0,Drama|Romance,English,USA,PG-13,60000000.0,True,False,True,False,False,False,False,False,False,False,False,Irwin Winkler,Mira Sorvino,Nathan Lane,Steven Weber,34.0,978.0,886.0,685.0,3821,22326247.0,5.9,0,55.0,11232,106.0,-0.6278958833333333
Torque ,84.0,Action|Comedy|Crime,English,USA,PG-13,40000000.0,False,True,False,False,True,True,False,False,False,False,False,Joseph Kahn,Dane Cook,Jay Hernandez,Christina Milian,33.0,1000.0,1000.0,1000.0,5039,21176322.0,4.0,0,86.0,23747,207.0,-0.47059195
Ishtar ,107.0,Action|Adventure|Comedy|Music|Thriller,English,USA,PG-13,51000000.0,False,True,False,True,False,True,True,False,False,False,True,Elaine May,Carol Kane,Warren Beatty,Isabelle Adjani,124.0,636.0,631.0,572.0,3374,14375181.0,4.2,754,49.0,8692,126.0,-0.7181337058823529
New York Minute ,91.0,Comedy|Crime|Family|Romance,English,USA,PG,30000000.0,False,True,True,False,True,False,False,False,True,False,False,Dennie Gordon,Mary-Kate Olsen,Bob Saget,Riley Smith,29.0,976.0,799.0,762.0,3974,14018364.0,4.8,849,70.0,17722,111.0,-0.5327212
Alfie ,103.0,Comedy|Drama|Romance,English,UK,R,60000000.0,True,True,True,False,False,False,False,False,False,False,False,Charles Shyer,Omar Epps,Nia Long,Jane Krakowski,14.0,865.0,826.0,624.0,3639,13395939.0,6.2,0,135.0,43442,146.0,-0.77673435
Big Miracle ,107.0,Biography|Drama|Romance,English,USA,PG,40000000.0,True,False,True,False,False,False,False,False,False,False,True,Ken Kwapis,Ted Danson,Tim Blake Nelson,Andrew Daly,42.0,875.0,596.0,171.0,1702,20113965.0,6.5,0,125.0,15231,66.0,-0.497150875
Duplex ,89.0,Comedy,English,USA,PG-13,40000000.0,False,True,False,False,False,False,False,False,False,False,False,Danny DeVito,Justin Theroux,Amber Valletta,Harvey Fierstein,0.0,1000.0,627.0,500.0,3096,9652000.0,5.8,0,78.0,46205,147.0,-0.7587
Raise the Titanic ,119.0,Action|Adventure|Drama|Thriller,English,UK,PG,36000000.0,True,False,False,True,False,True,True,False,False,False,False,Jerry Jameson,M. Emmet Walsh,Jason Robards,Anne Archer,5.0,521.0,372.0,249.0,1883,7000000.0,4.7,328,32.0,2933,70.0,-0.8055555555555556
Impostor ,102.0,Drama|Mystery|Sci-Fi|Thriller,English,USA,R,40000000.0,True,False,False,True,False,False,False,False,False,False,True,Gary Fleder,Gary Dourdan,Mekhi Phifer,Tim Guinee,39.0,1000.0,1000.0,259.0,2664,6114237.0,6.2,892,83.0,19986,207.0,-0.847144075
Just Visiting ,84.0,Comedy|Fantasy|Sci-Fi,English,France,PG-13,40000000.0,False,True,False,False,False,False,False,False,False,True,True,Jean-Marie Poiré,Bridgette Wilson-Sampras,Matt Ross,John Aylward,8.0,545.0,248.0,219.0,1149,4777007.0,5.8,565,61.0,15130,98.0,-0.880574825
A Thousand Words ,91.0,Comedy|Drama,English,USA,PG-13,40000000.0,True,True,False,False,False,False,False,False,False,False,False,Brian Robbins,John Gatins,Lou Saliba,Greg Collins,48.0,61.0,46.0,39.0,222,18438149.0,5.9,0,70.0,30842,93.0,-0.539046275
Delgo ,94.0,Adventure|Animation|Comedy|Fantasy|Romance,English,USA,PG,40000000.0,False,True,True,False,False,False,True,False,False,True,True,Marc F. Adler,Eric Idle,Anne Bancroft,Kelly Ripa,0.0,795.0,754.0,379.0,2449,511920.0,4.4,211,41.0,2458,26.0,-0.987202
The Gunman ,115.0,Action|Crime|Drama|Mystery|Thriller,English,USA,R,40000000.0,True,False,False,True,True,True,False,False,False,False,True,Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca,180.0,1000.0,535.0,87.0,1686,10640645.0,5.8,0,224.0,28429,110.0,-0.733983875
